证券代码,证券名称,所属行业,2026Q1 至今涨跌幅 %,区间最高涨幅 %,备注
301013.SZ,利和兴,专用设备,35.92,202.09,
003021.SZ,兆威机电,电机,-42.13,12.32,
002022.SZ,科华生物,医疗器械,-6.35,22.80,原 301518 笔误，实为 002022
301028.SZ,鼎熔岩,通用设备,-8.41,47.98,
002046.SZ,国机精工,通用设备,24.40,82.48,
600054.SH,黄山旅游,旅游及景区,1.42,29.96,
300054.SZ,鼎龙股份,电子化学品,85.85,184.62,
000062.SZ,深圳华强,其他电子,0.04,61.55,
000070.SZ,特发信息,通信设备,32.58,117.08,
601137.SH,博威合金,金属新材料,-1.70,24.38,
603216.SH,梦天家居,家居用品,-55.32,26.54,
301225.SZ,恒勃股份,汽车零部件,-48.30,15.12,
600273.SH,嘉化能源,化学制品,-18.84,40.52,
300290.SZ,ST 荣科,IT 服务,-77.83,7.53,
002294.SZ,信立泰,化学制药,-35.11,40.90,
001301.SZ,尚太科技,电池,-6.54,10.62,
605305.SH,中际联合,工程机械,-23.53,14.89,
688308.SH,欧科亿,通用设备,212.13,557.47,
603337.SH,杰克科技,专用设备,-15.65,11.50,
688368.SH,晶丰明源,半导体,60.52,162.28,
301371.SZ,敷尔佳,化妆品,-6.34,39.26,
301373.SZ,凌玮科技,化学制品,245.96,532.14,
600389.SH,江山股份,农化制品,-22.22,34.02,
002396.SZ,星网锐捷,通信设备,52.43,53.64,
002414.SZ,高德红外,军工电子,-20.38,15.37,
600419.SH,天润乳业,饮料乳品,-10.08,3.63,
300427.SZ,红相股份,电网设备,-48.70,55.23,
600429.SH,三元股份,饮料乳品,-8.48,22.16,
002440.SZ,闰土股份,化学制品,89.24,119.89,
002444.SZ,巨星科技,通用设备,-9.98,14.45,
600452.SH,涪陵电力,电力,-3.07,76.69,
600456.SH,宝钛股份,小金属,-28.98,16.90,
002469.SZ,三维化学,专业工程,-19.15,27.20,
002487.SZ,大金重工,风电设备,-32.90,76.73,
301499.SZ,维科精密,汽车零部件,-17.18,33.57,
300504.SZ,天邑股份,通信设备,18.73,39.73,
000513.SZ,丽珠集团,化学制药,-20.29,6.46,
301518.SZ,长华化学,化学制品,-27.37,47.99,301518 实为长华化学
688566.SH,吉贝尔,化学制药,-15.47,10.42,
600583.SH,海油工程,油服工程,14.53,56.61,
300584.SZ,海辰药业,化学制药,-38.57,10.89,
301603.SZ,乔锋智能,通用设备,67.44,112.16,
300605.SZ,恒锋信息,软件开发,-36.15,13.22,
603606.SH,东方电缆,电网设备,-30.89,16.68,
000630.SZ,铜陵有色,工业金属,16.96,57.79,
000672.SZ,上峰材料,水泥,13.13,93.40,
300677.SZ,英科医疗,医疗器械,35.82,70.84,
300737.SZ,科顺股份,装修建材,-10.36,70.36,
000739.SZ,普洛药业,化学制药,32.40,54.25,
002752.SZ,昇兴股份,包装印刷,-12.30,12.01,
601766.SH,中国中车,轨交设备,-8.55,2.80,
300844.SZ,山水比德,工程咨询服务,-33.15,38.91,
300846.SZ,首都在线,IT 服务,-21.34,66.23,
600875.SH,东方电气,电源设备,4.90,84.92,
300879.SZ,大叶股份,专用设备,-41.81,4.92,
002884.SZ,凌霄泵业,通用设备,-4.53,8.83,
000887.SZ,中鼎股份,汽车零部件,-8.40,5.29,
000899.SZ,赣能股份,电力,1.15,62.05,
601918.SH,新集能源,煤炭开采,67.13,84.49,
300969.SZ,恒帅股份,汽车零部件,-10.12,42.22,
601975.SH,招商南油,航运港口,36.07,95.74,
